WS50M,WS50M_Cubed,Power
-0.1037521838916822,-0.2658873900113299,-0.2575864244185011
-0.9701675825586276,-0.6219114277080616,-0.6197046352782788
-1.2082664707419102,-0.6825646560036913,-0.6817598153148205
-1.0693754526349952,-0.6488719290405309,-0.6481789285673007
-0.4344450841462416,-0.4295035276995758,-0.42609318850425504
0.05498040823050645,-0.17363555554699414,-0.16342079514493246
0.0615942662355975,-0.1695880527610829,-0.1587365456239374
-0.2095739119731407,-0.3223228528346591,-0.31371640125928196
-1.0429200206146305,-0.6419245103708445,-0.6394044487536539
-0.11697989990186429,-0.2731593339408109,-0.26146750120065904
0.0020695441897769025,-0.20542247682638387,-0.19088609181606034
-0.011158171820405191,-0.2132057006912963,-0.2013860667987135
-0.6527023983142506,-0.5179937808316296,-0.5128309346379305
-0.8643458544771684,-0.5903492995354567,-0.5860454520047411
-0.5799499602582475,-0.49012109213912897,-0.48298708762958886
-0.6923855463447977,-0.5325350340430123,-0.5278332150043112
-0.4079896521258768,-0.4177624525652078,-0.41187816029235885
0.34599016045451897,0.020596182075289016,0.032088757757849175
-0.1500491899273201,-0.29106552398750357,-0.283779853442437
-0.29555406603932666,-0.3653055846207099,-0.35789684047003745
0.12111898828141868,-0.13240999235272807,-0.11751381808339352
0.6171583386632578,0.23297223439395184,0.2549716657862083
0.28646543840869837,-0.02188101398550351,-0.007084802997546462
-0.017772029825496825,-0.21707297322926805,-0.2037237997897597
-0.5733361022531562,-0.487508104076514,-0.48047974553555467
-1.0363061626095396,-0.6401604328963514,-0.6377431997438953
-0.3881480781106031,-0.4088078790861917,-0.40269756432038006
0.107891272271236,-0.14078916671562763,-0.13184638586539607
-0.12359375790695534,-0.27677178065109126,-0.27016787198353287
-0.381534220105512,-0.40579450374399234,-0.4010985380847664
-0.4542866581615147,-0.43816175420964737,-0.43406391338890893
-0.3021679240444177,-0.36850770475860595,-0.36367107518056013
0.20048528434251242,-0.08070640181221575,-0.06946527542646916
-0.24264320199859712,-0.3391545476614219,-0.3316657518396906
-0.13682147391713803,-0.2839497931752374,-0.2767761996719517
-0.40137579412078517,-0.4147918195742982,-0.40972320273407725
-0.35507878808514726,-0.39359751019586386,-0.38798533726577616
0.24016843237305988,-0.05392404449387311,-0.043805345630181444
-0.050841319850952645,-0.23616729887432092,-0.22967721901696872
-0.07068289386622578,-0.24743148583554525,-0.24084716102041492
0.5444059006072545,0.17288310902159773,0.18614204401578227
0.7957325048007196,0.39052802116053464,0.40709360124382976
0.736207782754899,0.33639376469290994,0.35583845733156955
0.12773284628650972,-0.12819508202426427,-0.11848546638558766
-0.5997915342735209,-0.49788040629456976,-0.49492879381878213
-0.3484649300800562,-0.39051221915149403,-0.38636783285045173
-0.41460351013096786,-0.4207189059506891,-0.41512277614207327
-0.6725439723295242,-0.5253221096115627,-0.5209811402513291
-0.5071975222022442,-0.46063939137806514,-0.45619859551102365
-0.7320686943753448,-0.5466183334905731,-0.5434711808310211
-0.3749203621004204,-0.4027668131063607,-0.39707791998793585
0.10127741426614495,-0.14495349859506512,-0.13459098074241946
0.6039306226530751,0.2218733235114654,0.2360970121695905
0.13434670429160078,-0.12396324436778935,-0.11601419987060191
-0.24264320199859712,-0.3391545476614219,-0.33606446803609763
-0.40137579412078517,-0.4147918195742982,-0.4143677392678965
-0.6659301143244329,-0.5228922012869732,-0.5230347354697129
-0.5601083862429739,-0.482242099400076,-0.48197387404145664
-0.35507878808514726,-0.39359751019586386,-0.39310417057084535
-0.5402668122277003,-0.4742425121698832,-0.4743156142115474
-0.632860824298977,-0.5105491317956861,-0.5110562974126229
-1.1751971807164543,-0.674957337267838,-0.6758920836492348
-1.2611773347826398,-0.6942142308452978,-0.6957901790276657
-0.5402668122277003,-0.4742425121698832,-0.47701486246842983
0.10127741426614495,-0.14495349859506512,-0.14766427245285782
-0.07729675187131742,-0.2511543502866587,-0.2522205562024779
0.19387142633742138,-0.085109378486356,-0.0850983590436535
-0.5534945282378828,-0.47958901494125084,-0.48142604291400315
-0.4079896521258768,-0.4177624525652078,-0.42003259738371357
-0.20296005396804967,-0.3189110577179347,-0.3215017754960623
-0.39476193611569416,-0.41180697305546,-0.4133682394082828
-0.3484649300800562,-0.39051221915149403,-0.3914690252640502
-0.14343533192222907,-0.287515426834105,-0.28772439022077173
-0.3286233560647825,-0.38116930088075696,-0.3825450926815907
-0.09052446788149951,-0.25855248591994845,-0.2600128315790716
-0.4542866581615147,-0.43816175420964737,-0.4403660981102793
-0.39476193611569416,-0.41180697305546,-0.4129596200517905
-0.3881480781106031,-0.4088078790861917,-0.41063658339223086
-0.4609005161666064,-0.4410199001871618,-0.4440461105463669
0.12773284628650972,-0.12819508202426427,-0.13420838129914184
0.0483665502254154,-0.1776665041524058,-0.18355692339640917
-0.3484649300800562,-0.39051221915149403,-0.3953228865251446
-0.3484649300800562,-0.39051221915149403,-0.394270845790074
-0.7651379844008007,-0.5580098768281415,-0.561039721709782
-0.35507878808514726,-0.39359751019586386,-0.3973941848044808
-0.26248477601387027,-0.34907296116202824,-0.35260375926970244
-0.4410589421513326,-0.4324036018883554,-0.4342938139077583
-0.7386825523804359,-0.5489215412738382,-0.5509638306729966
-0.2558709180087792,-0.34578179445894464,-0.34973054662638814
-0.05745517785604369,-0.23993799405187768,-0.24352268052805276
-0.34185107207496457,-0.3874124431991867,-0.3914194580380994
-0.28894020803423504,-0.36208870819486827,-0.36732062973261936
0.17402985232214765,-0.0982148448806539,-0.1072629777583681
0.08804969825596227,-0.15323182136242072,-0.15997278887487806
-0.18973233795786756,-0.31204173995310575,-0.31638719977373464
0.1541882783068745,-0.11116582820528888,-0.11909526599610354
-0.03099974583567892,-0.22475900912874708,-0.23275549035012486
-0.2558709180087792,-0.34578179445894464,-0.3517744761366776
-0.39476193611569416,-0.41180697305546,-0.41902274181631327
-0.15666304793241176,-0.2946001185579347,-0.300723330158994
