WS50M_Cubed,WS50M,WS50M_RollMean3,PRECTOTCORR,WS50M_Lag1,Power
-0.2658873900113299,-0.1037521838916822,-0.8411701068702029,0.9014913022040145,-0.10351273155241453,-0.2575864244185011
-0.6219114277080616,-0.9701675825586276,-0.8411701068702029,-0.31260022314735164,-0.10351273155241453,-0.6197046352782788
-0.6825646560036913,-1.2082664707419102,-0.8411701068702029,-0.4380722803933098,-0.9699529007087525,-0.6817598153148205
-0.6488719290405309,-1.0693754526349952,-1.1975045901372288,-0.4297074765769126,-1.2080585960494254,-0.6481789285673007
-0.4295035276995758,-0.4344450841462416,-0.9998121713383995,-0.3042354193309545,-1.0691636071006996,-0.42609318850425504
-0.17363555554699414,0.05498040823050645,-0.533648566516468,-0.019832089573449407,-0.4342150861922383,-0.16342079514493246
-0.1695880527610829,0.0615942662355975,-0.1162979046078276,-0.32335497091129095,0.05522439867470102,-0.1587365456239374
-0.3223228528346591,-0.2095739119731407,-0.03331590165523251,-0.4368773084195388,0.06183844576749735,-0.31371640125928196
-0.6419245103708445,-1.0429200206146305,-0.43846332783555014,-0.4380722803933098,-0.20933748503715763,-0.6394044487536539
-0.2731593339408109,-0.11697989990186429,-0.5043608007684932,-0.4380722803933098,-1.0427074187295136,-0.26146750120065904
-0.20542247682638387,0.0020695441897769025,-0.42626009210722676,-0.4380722803933098,-0.1167408257380072,-0.19088609181606034
-0.2132057006912963,-0.011158171820405191,-0.04551913738355528,-0.4368773084195388,0.002312021932329168,-0.2013860667987135
-0.5179937808316296,-0.6527023983142506,-0.24321155618238455,-0.4380722803933098,-0.010916072253263501,-0.5128309346379305
-0.5903492995354567,-0.8643458544771684,-0.5629363322644428,-0.4380722803933098,-0.6524786402545217,-0.5860454520047411
-0.49012109213912897,-0.5799499602582475,-0.7728319867915948,-0.4380722803933098,-0.8641281472240088,-0.48298708762958886
-0.5325350340430123,-0.6923855463447977,-0.7874758696655823,-0.4380722803933098,-0.5797241222337606,-0.5278332150043112
-0.4177624525652078,-0.4079896521258768,-0.6190712166147277,-0.43448736447199676,-0.6921629228113007,-0.41187816029235885
0.020596182075289016,0.34599016045451897,-0.2773806162216886,-0.2624114002489684,-0.40775889782105235,0.032088757757849175
-0.29106552398750357,-0.1500491899273201,-0.07724755027719435,-0.42373261670805745,0.34624247075774617,-0.283779853442437
-0.3653055846207099,-0.29555406603932666,-0.035756548800896806,-0.4380722803933098,-0.14981106120198945,-0.35789684047003745
-0.13240999235272807,0.12111898828141868,-0.11873855175349189,-0.4380722803933098,-0.2953200972435123,-0.11751381808339352
0.23297223439395184,0.6171583386632578,0.1643765171435974,-0.4380722803933098,0.12136486960266613,0.2549716657862083
-0.02188101398550351,0.28646543840869837,0.37915346596207866,-0.4380722803933098,0.6174184015624018,-0.007084802997546462
-0.21707297322926805,-0.017772029825496825,0.32789987590312264,-0.4380722803933098,0.286716046922578,-0.2037237997897597
-0.487508104076514,-0.5733361022531562,-0.11141661031649837,-0.4380722803933098,-0.017530119346060424,-0.48047974553555467
-0.6401604328963514,-1.0363061626095396,-0.5995460394494111,-0.4380722803933098,-0.5731100751409639,-0.6377431997438953
-0.4088078790861917,-0.3881480781106031,-0.7362222796066262,-0.4380722803933098,-1.0360933716367173,-0.40269756432038006
-0.14078916671562763,0.107891272271236,-0.4848356236031763,-0.4380722803933098,-0.3879167565426628,-0.13184638586539607
-0.27677178065109126,-0.12359375790695534,-0.14802631750146666,-0.4380722803933098,0.10813677541707287,-0.27016787198353287
-0.40579450374399234,-0.381534220105512,-0.1455856703558024,-0.4380722803933098,-0.12335487283080353,-0.4010985380847664
-0.43816175420964737,-0.4542866581615147,-0.35304067773729014,-0.4380722803933098,-0.38130270944986644,-0.43406391338890893
-0.36850770475860595,-0.3021679240444177,-0.4189381506702332,-0.4380722803933098,-0.45405722747062727,-0.36367107518056013
-0.08070640181221575,0.20048528434251242,-0.20416120185175193,-0.4380722803933098,-0.30193414433630866,-0.06946527542646916
-0.3391545476614219,-0.24264320199859712,-0.12606049319048543,-0.4380722803933098,0.2007334347162233,-0.3316657518396906
-0.2839497931752374,-0.13682147391713803,-0.06504431454887158,-0.43448736447199676,-0.24240772050114048,-0.2767761996719517
-0.4147918195742982,-0.40137579412078517,-0.287143204804347,-0.4380722803933098,-0.1365829670163968,-0.40972320273407725
-0.39359751019586386,-0.35507878808514726,-0.3286342062806446,-0.4380722803933098,-0.40114485072825545,-0.38798533726577616
-0.05392404449387311,0.24016843237305988,-0.1895173189777649,-0.4380722803933098,-0.35484652107868053,-0.043805345630181444
-0.23616729887432092,-0.050841319850952645,-0.060163020257542346,-0.4380722803933098,0.24041771727300248,-0.22967721901696872
-0.24743148583554525,-0.07068289386622578,0.04478480700603335,-0.43448736447199676,-0.05060035481004268,-0.24084716102041492
0.17288310902159773,0.5444059006072545,0.15705457570660386,-0.42851250460314155,-0.07044249608843169,0.18614204401578227
0.39052802116053464,0.7957325048007196,0.46945741035166794,-0.43568233644576776,0.5446638835416403,0.40709360124382976
0.33639376469290994,0.736207782754899,0.7672163621227444,-0.42731753262937056,0.7959976730679063,0.35583845733156955
-0.12819508202426427,0.12773284628650972,0.6134555919458763,-0.4380722803933098,0.7364712492327381,-0.11848546638558766
-0.49788040629456976,-0.5997915342735209,0.09847904421065366,-0.4380722803933098,0.12797891669546246,-0.49492879381878213
-0.39051221915149403,-0.3484649300800562,-0.30178708767833473,-0.4380722803933098,-0.5995662635121499,-0.38636783285045173
-0.4207189059506891,-0.41460351013096786,-0.5019201536228283,-0.4380722803933098,-0.3482324739858842,-0.41512277614207327
-0.5253221096115627,-0.6725439723295242,-0.5287672722251388,-0.4380722803933098,-0.4143729449138487,-0.5209811402513291
-0.46063939137806514,-0.5071975222022442,-0.587342803721088,-0.4380722803933098,-0.6723207815329113,-0.45619859551102365
-0.5466183334905731,-0.7320686943753448,-0.7044938667129871,-0.4380722803933098,-0.5069696042129992,-0.5434711808310211
-0.4027668131063607,-0.3749203621004204,-0.5946647451580815,-0.4380722803933098,-0.7318472053680795,-0.39707791998793585
