Date,PS,T2M,T2MDEW,QV2M,PRECTOTCORR,WS50M,PS_Pa,T_K,Air_Density,WS50M_Cubed,Power
2020-01-27,98.71,23.43,17.38,12.66,0.0,4.21,9871.0,296.58,0.11596779359025058,74.618461,70464.20423550904
2020-01-28,98.71,24.2,18.76,13.82,0.0,4.96,9871.0,297.34999999999997,0.11566749024044566,122.02393599999999,114932.06550316034
2020-01-29,98.79,24.62,18.63,13.7,0.0,4.61,9879.0,297.77,0.1155979540835425,97.97218100000002,92222.69170562692
2020-01-30,98.73,24.5,17.7,13.04,0.0,4.22,9873.0,297.65,0.11557432173395432,75.15144799999999,70726.72949832756
2020-01-31,98.67,24.43,18.54,13.68,0.0,4.11,9867.0,297.58,0.11553125526166595,69.42653100000001,65314.533236075375
2020-02-01,98.73,24.74,19.61,14.51,0.0,4.34,9873.0,297.89,0.11548120737222298,81.74650399999999,76871.50330923799
2020-02-02,98.94,24.34,18.15,13.25,0.0,5.1,9894.0,297.48999999999995,0.11588244174869347,132.65099999999998,125173.68446359353
2020-02-03,98.94,24.02,17.59,12.78,0.0,4.43,9894.0,297.16999999999996,0.11600722682578597,86.93830699999998,82126.07996002649
2020-02-04,98.78,24.23,17.65,12.84,0.03,4.59,9878.0,297.38,0.11573783868080892,96.70257899999999,91137.74830410273
2020-02-05,98.81,24.39,16.71,12.1,0.0,4.19,9881.0,297.53999999999996,0.11571073277062388,73.56005900000002,69310.74750669184
2020-02-06,98.8,24.21,16.56,11.99,0.0,4.26,9880.0,297.35999999999996,0.1157690580710719,77.308776,72879.63131740023
2020-02-07,98.82,24.57,17.99,13.1,0.0,5.16,9882.0,297.71999999999997,0.11565247799653676,137.38809600000002,129386.48576956472
2020-02-08,98.82,25.05,17.94,13.08,0.0,4.72,9882.0,298.2,0.11546631706616003,105.15404799999999,98870.37457348286
2020-02-09,98.89,25.14,18.98,13.93,0.03,4.69,9889.0,298.28999999999996,0.11551324547598431,103.16170900000003,97036.51350553292
2020-02-10,98.9,24.86,17.99,13.1,0.08,5.62,9890.0,298.01,0.11563346972782407,177.50432800000002,167138.83626684983
2020-02-11,98.95,24.97,17.56,12.74,0.02,6.0,9895.0,298.12,0.11564924163550351,216.0,203414.26711317088
2020-02-12,99.07,24.41,17.01,12.29,0.09,5.91,9907.0,297.56,0.11600740611327531,206.425071,194999.289405689
2020-02-13,98.95,24.68,16.78,12.16,0.0,4.99,9895.0,297.83,0.11576185043943293,124.25149900000001,117125.63732819534
2020-02-14,98.71,24.85,15.77,11.56,0.0,3.89,9871.0,298.0,0.11541519537918293,58.86386900000001,55321.84620230778
2020-02-15,98.71,24.95,12.88,9.8,0.0,4.27,9871.0,298.09999999999997,0.11537647844010908,77.85448299999997,73145.1902946613
2020-02-16,98.88,24.16,13.84,10.27,0.0,4.17,9888.0,297.31,0.11588228338257667,72.511713,68424.25521752806
2020-02-17,98.94,23.88,13.33,9.95,0.0,3.78,9894.0,297.03,0.11606190484401852,54.01015199999999,51044.618635982704
2020-02-18,98.89,24.58,15.76,11.42,0.0,4.03,9889.0,297.72999999999996,0.11573051420089128,65.45082700000002,61680.500778013346
2020-02-19,98.86,24.47,17.02,12.32,0.0,3.69,9886.0,297.62,0.11573816622323393,50.243409,47352.24406295568
2020-02-20,98.84,24.18,15.74,11.43,0.0,4.23,9884.0,297.33,0.11582761372967378,75.68696700000002,71386.82737480693
2020-02-21,98.97,24.35,15.61,11.43,0.0,4.95,9897.0,297.5,0.11591368254618921,121.28737500000001,114481.46283300187
2020-02-22,99.07,25.3,18.68,13.67,0.0,5.71,9907.0,298.45,0.1156614634379836,186.169411,175340.3534474837
2020-02-23,98.96,25.47,18.17,13.31,0.0,5.0,9896.0,298.62,0.11546727023285043,125.0,117531.36543752326
2020-02-24,98.73,26.02,17.88,13.14,0.0,4.43,9873.0,299.16999999999996,0.11498712058064478,86.93830699999998,81403.90661489515
2020-02-25,98.59,27.03,18.37,13.59,0.0,4.19,9859.0,300.17999999999995,0.11443772528585057,73.56005900000002,68548.21581893424
2020-02-26,98.63,27.29,19.25,14.3,0.0,3.79,9863.0,300.44,0.11438508074336502,54.439939,50707.46305190177
2020-02-27,98.67,27.18,18.72,13.85,0.0,3.95,9867.0,300.33,0.11447338241523176,61.629875000000006,57448.76172350944
2020-02-28,98.6,27.07,18.77,13.87,0.01,4.26,9860.0,300.21999999999997,0.11443408399461767,77.308776,72039.23043540856
2020-02-29,98.56,27.16,18.42,13.6,0.03,3.98,9856.0,300.31,0.11435337955657203,63.044792,58706.08110314297
2020-03-01,98.6,27.58,17.81,13.09,0.0,3.84,9860.0,300.72999999999996,0.11424001827840294,56.62310399999999,52674.06155357438
2020-03-02,98.61,27.74,17.09,12.49,0.0,3.02,9861.0,300.89,0.11419085053481873,27.543608,25611.617461118185
2020-03-03,98.57,28.96,16.65,12.16,0.0,2.89,9857.0,302.10999999999996,0.11368358457247903,24.137569000000003,22344.783807944244
2020-03-04,98.5,29.26,17.2,12.57,0.0,3.98,9850.0,302.40999999999997,0.11349015406662877,63.044792,58262.923359843924
2020-03-05,98.43,28.38,18.22,13.5,0.38,4.95,9843.0,301.53,0.11374048103799544,121.28737500000001,112335.11321987686
2020-03-06,98.51,27.89,19.64,14.63,0.38,4.68,9851.0,301.03999999999996,0.11401820957961298,102.50323199999998,95169.24985918992
2020-03-07,98.66,27.93,20.29,15.16,0.87,5.09,9866.0,301.08,0.11417665278400778,131.87222899999998,122607.0728009085
2020-03-08,98.61,28.81,20.19,15.08,0.0,3.96,9861.0,301.96,0.11378621346344418,62.099136,57538.70365661331
2020-03-09,98.51,28.74,18.56,13.69,0.0,4.18,9851.0,301.89,0.11369718046919969,73.03463199999999,67618.16956167955
2020-03-10,98.52,28.81,17.69,13.05,0.0,4.49,9852.0,301.96,0.11368236234072124,90.51884900000002,83794.78338806519
2020-03-11,98.55,28.34,17.04,12.55,0.0,4.2,9855.0,301.48999999999995,0.11389425551121649,74.08800000000001,68712.31191535099
2020-03-12,98.66,28.25,16.1,11.93,0.0,4.27,9866.0,301.4,0.11405543006041494,77.85448299999997,72307.68566262886
2020-03-13,98.69,27.96,17.15,12.63,0.0,4.58,9869.0,301.10999999999996,0.11419999196931864,96.071912,89340.29399272097
2020-03-14,98.58,28.29,18.39,13.66,0.0,4.3,9858.0,301.44,0.11394782396413591,79.50699999999999,73772.8009274112
2020-03-15,98.57,28.28,18.65,13.83,0.0,4.66,9857.0,301.42999999999995,0.11394004490326656,101.19469600000001,93889.92804718127
2020-03-16,98.67,29.22,18.44,13.62,0.0,4.11,9867.0,302.37,0.11370106472456444,69.42653100000001,64279.85183844729
2020-03-17,98.8,28.81,17.09,12.66,0.0,4.2,9880.0,301.96,0.11400545472252596,74.08800000000001,68779.39830928668
2020-03-18,98.72,29.05,16.28,12.16,0.0,4.21,9872.0,302.2,0.11382267552466581,74.618461,69160.79030649424
2020-03-19,98.58,29.59,16.32,12.34,0.0,4.1,9858.0,302.73999999999995,0.11345851904521746,68.92099999999998,63675.67398917732
2020-03-20,98.54,30.13,16.05,12.11,0.0,4.99,9854.0,303.28,0.11321054726166964,124.25149900000001,114544.27732419885
2020-03-21,98.53,30.2,18.38,13.55,0.0,4.87,9853.0,303.34999999999997,0.11317293704618979,115.50130300000001,106442.32208715766
2020-03-22,98.53,30.51,17.12,12.77,0.0,4.27,9853.0,303.65999999999997,0.11305740121504868,77.85448299999997,71674.96562470736
2020-03-23,98.53,29.78,17.75,13.14,0.09,4.27,9853.0,302.92999999999995,0.11332984667402264,77.85448299999997,71847.68778793329
2020-03-24,98.4,29.65,16.6,12.25,0.05,3.64,9840.0,302.79999999999995,0.11322891111530478,48.22854400000001,44467.872494302355
2020-03-25,98.41,29.45,17.29,12.73,0.0,4.26,9841.0,302.59999999999997,0.11331526307426232,77.308776,71334.90358379306
2020-03-26,98.47,29.3,17.11,12.67,0.0,4.4,9847.0,302.45,0.11344058366545455,85.18400000000003,78688.51540915426
2020-03-27,98.67,28.97,16.23,12.04,0.0,4.13,9867.0,302.12,0.1137951507373446,70.444997,65276.7885807415
2020-03-28,98.55,28.98,13.05,10.06,0.0,3.68,9855.0,302.13,0.11365299405579272,49.836032,46122.11423446231
2020-03-29,98.44,29.46,14.74,10.92,0.0,4.41,9844.0,302.60999999999996,0.11334606116104641,85.76612100000001,79160.23431377257
2020-03-30,98.51,29.18,13.85,10.34,0.0,4.71,9851.0,302.33,0.11353170976035026,104.487111,96597.25150577645
2020-03-31,98.55,30.0,15.49,11.32,0.0,4.28,9855.0,303.15,0.11327058912774751,78.402752,72315.82352098922
2020-04-01,98.49,30.51,17.17,12.65,0.0,4.36,9849.0,303.65999999999997,0.11301150355901901,82.88185600000001,76272.32598080458
2020-04-02,98.38,30.82,17.64,13.17,0.0,5.06,9838.0,303.96999999999997,0.11277016035990166,129.55421599999997,118968.12540670276
2020-04-03,98.47,30.32,18.13,13.64,0.0,4.93,9847.0,303.46999999999997,0.11305929590937071,119.82315699999998,110314.32304356247
2020-04-04,98.56,29.95,17.65,13.34,0.0,4.51,9856.0,303.09999999999997,0.11330077009117172,91.73385099999999,84634.48526774951
2020-04-05,98.59,31.05,20.82,15.84,0.0,5.03,9859.0,304.2,0.11292543187477522,127.26352700000002,117025.52152055451
2020-04-06,98.56,31.53,20.77,15.82,0.06,4.75,9856.0,304.67999999999995,0.112713218506742,107.171875,98364.98950051473
2020-04-07,98.46,30.81,19.48,14.69,0.11,4.41,9846.0,303.96,0.11286557510547189,85.76612100000001,78824.6656283311
2020-04-08,98.46,32.19,19.35,14.51,1.02,4.2,9846.0,305.34,0.11235547327261164,74.08800000000001,67783.96583964917
2020-04-09,98.51,30.75,20.37,15.34,7.38,4.56,9851.0,303.9,0.11294518529729086,94.81881599999997,87206.15132036235
2020-04-10,98.59,29.68,19.21,14.41,1.65,4.22,9859.0,302.83,0.11343630543970751,75.15144799999999,69418.35149673047
2020-04-11,98.7,29.67,19.31,14.49,0.0,3.78,9870.0,302.82,0.1135666201124068,54.01015199999999,49947.179664215946
2020-04-12,98.62,30.19,17.62,13.14,0.0,4.09,9862.0,303.34,0.11328004660769796,68.41792899999999,63111.45794042652
2020-04-13,98.47,30.89,16.51,12.31,0.0,4.29,9847.0,304.03999999999996,0.11284733761878939,78.95358900000001,72551.77862998584
2020-04-14,98.52,30.07,15.62,11.8,0.0,4.51,9852.0,303.21999999999997,0.11320996679771844,91.73385099999999,84566.65616124077
2020-04-15,98.59,30.11,16.39,12.48,0.0,4.14,9859.0,303.26,0.11327546124219028,70.95794399999998,65451.82077480591
2020-04-16,98.47,30.43,18.81,14.21,0.0,4.87,9847.0,303.58,0.11301832969766364,115.50130300000001,106296.9095387306
2020-04-17,98.4,31.31,19.53,14.8,0.0,4.95,9840.0,304.46,0.11261155582248666,121.28737500000001,111220.13690938818
2020-04-18,98.43,31.48,19.9,15.07,0.0,5.18,9843.0,304.63,0.11258302612148101,138.991832,127422.77739137874
2020-04-19,98.42,31.26,20.36,15.47,0.0,5.09,9842.0,304.40999999999997,0.1126529448008583,131.87222899999998,120970.8593451616
2020-04-20,98.43,30.93,18.79,14.22,0.0,4.81,9843.0,304.08,0.11278665892984334,111.28464099999998,102206.33865194813
2020-04-21,98.43,31.26,18.12,13.71,0.0,4.26,9843.0,304.40999999999997,0.11266439094440645,77.308776,70925.16265949923
2020-04-22,98.35,31.69,19.52,14.74,0.0,5.04,9835.0,304.84,0.11241402927085302,128.024064,117191.73765749503
2020-04-23,98.28,32.79,20.9,15.94,0.0,4.96,9828.0,305.94,0.11193012498863958,122.02393599999999,111218.46276969656
2020-04-24,98.27,32.48,21.2,16.24,0.0,6.03,9827.0,305.63,0.11203225507465531,219.25622700000002,200022.9758392149
2020-04-25,98.26,31.97,22.47,17.5,5.0,4.79,9826.0,305.12,0.11220809451333708,109.90223900000001,100418.93185001097
2020-04-26,98.38,29.14,23.88,18.99,12.09,5.73,9838.0,302.28999999999996,0.11339688922756064,188.13251700000004,173720.02239811714
2020-04-27,98.49,27.89,23.3,18.3,5.48,2.83,9849.0,301.03999999999996,0.11399506102422173,22.665187000000003,21039.247950428697
2020-04-28,98.4,29.21,22.86,17.86,15.51,3.42,9840.0,302.35999999999996,0.11339368397180279,40.001687999999994,36936.18638768854
2020-04-29,98.35,30.14,22.34,17.35,3.72,2.59,9835.0,303.28999999999996,0.11298853467943826,17.373979,15985.21708625612
2020-04-30,98.43,30.16,22.12,17.09,0.0,3.73,9843.0,303.31,0.113072985550713,51.895117,47782.64921028467
2020-05-01,98.34,30.72,21.55,16.63,0.3,4.35,9834.0,303.87,0.11276140574051186,82.31287499999998,75581.08500141413
2020-05-02,98.2,31.29,21.14,16.21,0.09,4.1,9820.0,304.44,0.11239005345737899,68.92099999999998,63076.025174682014
2020-05-03,98.2,31.26,21.0,16.06,0.0,4.39,9820.0,304.40999999999997,0.11240112964279908,84.60451899999998,77437.1046702665
2020-05-04,98.3,31.63,21.36,16.45,0.0,4.36,9830.0,304.78,0.11237899822868751,82.88185600000001,75845.44330762215
2020-05-05,98.29,31.62,21.31,16.38,0.0,4.59,9829.0,304.77,0.11237125294347175,96.70257899999999,88486.7307365482
2020-05-06,98.25,31.41,22.04,17.11,0.0,4.94,9825.0,304.56,0.11240297306721801,120.55378400000002,110342.67677033314
2020-05-07,98.3,31.71,22.24,17.33,0.0,4.48,9830.0,304.85999999999996,0.1123495082337446,89.91539200000003,82260.26186408156
2020-05-08,98.28,32.29,21.56,16.61,0.0,4.7,9828.0,305.44,0.11211335266836167,103.82300000000001,94784.16395240037
2020-05-09,98.32,32.11,21.06,16.19,0.0,4.76,9832.0,305.26,0.11222511865706072,107.85017599999999,98558.88946011626
2020-05-10,98.33,32.09,19.98,15.24,0.0,4.91,9833.0,305.24,0.11224388691459784,118.370771,108191.22641182652
2020-05-11,98.36,30.96,21.29,16.38,4.59,4.19,9836.0,304.10999999999996,0.11269533064839803,73.56005900000002,67504.52115136277
2020-05-12,98.37,27.87,22.93,17.95,25.64,3.55,9837.0,301.02,0.11386373438323638,44.73887499999999,41481.585954612005
2020-05-13,98.24,29.6,18.97,14.24,0.4,4.15,9824.0,302.75,0.11306346872599314,71.47337500000002,65803.87447926454
2020-05-14,98.16,29.87,22.34,17.4,0.0,3.75,9816.0,303.02,0.11287073655974687,52.734375,48468.55053255346
2020-05-15,98.01,30.07,20.53,15.93,0.0,3.76,9801.0,303.21999999999997,0.11262392251161576,53.15737599999999,48750.4976891993
2020-05-16,97.9,30.35,21.4,16.6,0.0,4.98,9790.0,303.5,0.11239373396322808,123.50599200000003,113035.5359506997
2020-05-17,97.78,30.89,21.05,16.14,0.35,4.56,9778.0,304.03999999999996,0.11205659259028361,94.81881599999997,86520.0596568224
2020-05-18,97.62,31.22,21.89,16.97,3.92,6.7,9762.0,304.37,0.1117519377147221,300.76300000000003,273693.4098140963
2020-05-19,97.48,32.87,19.83,14.99,0.76,9.05,9748.0,306.02,0.1109899901785017,741.2176250000002,669906.8528792739
2020-05-20,97.59,34.03,19.27,14.5,0.0,7.29,9759.0,307.17999999999995,0.11069563226954064,387.42048900000003,349219.0608444425
2020-05-21,97.79,33.43,19.21,14.34,2.02,6.34,9779.0,306.58,0.11113957443964811,254.840104,230632.96009160965
2020-05-22,97.86,33.44,18.99,14.4,0.08,6.54,9786.0,306.59,0.11121550270918738,279.726264,253328.14565283817
2020-05-23,97.96,33.04,20.83,16.17,0.02,3.84,9796.0,306.19,0.11147458826605922,56.62310399999999,51398.97045250937
2020-05-24,98.05,32.29,21.92,17.36,0.01,3.46,9805.0,305.44,0.111850979132406,41.421735999999996,37727.059455956965
2020-05-25,98.17,31.41,23.39,18.67,0.03,3.9,9817.0,304.56,0.11231144901790119,59.318999999999996,54250.37211202555
2020-05-26,98.17,31.64,23.0,18.27,0.03,3.62,9817.0,304.78999999999996,0.11222669678431703,47.43792800000001,43351.76280651986
2020-05-27,98.08,32.6,22.92,18.12,0.11,2.26,9808.0,305.75,0.11177176133401329,11.543175999999997,10506.118188009816
2020-05-28,97.95,33.32,22.33,17.47,3.39,3.28,9795.0,306.46999999999997,0.11136137259969062,35.28755199999999,31999.336712260592
2020-05-29,98.04,30.76,23.07,18.12,7.55,4.39,9804.0,303.90999999999997,0.11240261506908165,84.60451899999998,77438.12803285095
2020-05-30,98.11,31.33,21.51,16.57,0.6,4.95,9811.0,304.47999999999996,0.11227229699667315,121.28737500000001,110885.06993709471
2020-05-31,98.25,29.04,23.2,18.23,0.34,4.02,9825.0,302.19,0.11328452125269504,64.96480799999998,59928.526945731486
2020-06-01,98.27,29.8,23.24,18.29,0.37,3.41,9827.0,302.95,0.11302333097364879,39.651821000000005,36493.54973700183
2020-06-02,98.23,28.79,22.24,17.22,0.01,4.23,9823.0,301.94,0.1133552389091771,75.68696700000002,69863.05433974699
2020-06-03,98.17,29.56,21.32,16.22,0.0,5.42,9817.0,302.71,0.11299783592511642,159.220088,146505.13794451367
2020-06-04,98.17,30.09,21.13,16.1,0.0,4.92,9817.0,303.23999999999995,0.11280033937769421,119.09548799999999,109393.26495354906
2020-06-05,98.14,31.01,21.11,16.09,0.44,3.38,9814.0,304.15999999999997,0.11242478284856496,38.614472,35350.61943045893
2020-06-06,98.12,30.27,21.04,16.08,0.64,3.11,9812.0,303.41999999999996,0.1126760045814532,30.080230999999998,27599.262413340242
2020-06-07,98.0,31.37,19.86,15.02,0.57,3.76,9800.0,304.52,0.11213168745374569,53.15737599999999,48537.42835618293
2020-06-08,97.99,31.42,19.32,14.46,0.07,5.8,9799.0,304.57,0.11210183912682518,195.112,178107.24593025658
2020-06-09,98.0,31.48,17.7,13.25,0.07,4.25,9800.0,304.63,0.11209119739820318,76.765625,70068.55616864387
2020-06-10,97.89,29.96,19.61,14.74,1.05,3.85,9789.0,303.10999999999996,0.11252685143110498,57.066625,52290.55190341779
2020-06-11,97.74,28.72,21.43,16.43,2.37,6.32,9774.0,301.87,0.11281594437645298,252.43596800000003,231903.11803288735
2020-06-12,97.7,29.66,19.89,14.94,2.56,7.96,9770.0,302.81,0.11241970822195402,504.358336,461707.0721695453
2020-06-13,97.78,31.46,18.27,13.51,0.0,7.8,9778.0,304.60999999999996,0.11184690722940753,474.55199999999996,432207.8569786722
2020-06-14,97.9,30.83,18.23,13.43,0.0,8.15,9790.0,303.97999999999996,0.1122162584967423,541.343375,494667.61693963176
2020-06-15,97.84,31.91,19.87,14.94,0.07,5.07,9784.0,305.06,0.11175045018847038,130.323843,118592.71979886739
2020-06-16,97.79,32.01,20.38,15.45,0.09,4.97,9779.0,305.15999999999997,0.11165673984698953,122.76347299999998,111619.21895689356
2020-06-17,97.85,31.72,20.17,15.18,0.01,5.51,9785.0,304.87,0.11183152378079923,167.28415099999998,152336.47744058855
2020-06-18,97.97,32.27,19.02,14.13,0.01,5.52,9797.0,305.41999999999996,0.11176703720038689,168.19660799999997,153079.0793350907
2020-06-19,98.05,31.4,19.25,14.32,0.28,4.89,9805.0,304.54999999999995,0.11217784621967523,116.93016899999998,106811.63049769583
2020-06-20,98.01,31.4,18.93,14.13,0.59,4.87,9801.0,304.54999999999995,0.11213208269240561,115.50130300000001,105463.36936875204
2020-06-21,97.91,31.07,18.97,14.11,1.6,5.11,9791.0,304.21999999999997,0.11213918407204397,133.43283100000002,121844.22842215995
2020-06-22,97.82,31.38,20.15,15.29,6.7,4.83,9782.0,304.53,0.11192205593333923,112.67858700000001,102693.26015096417
2020-06-23,97.96,30.04,20.27,15.46,9.08,4.1,9796.0,303.19,0.11257760539986368,68.92099999999998,63181.283875801964
2020-06-24,98.01,29.45,21.31,16.41,13.85,3.58,9801.0,302.59999999999997,0.1128546787309059,45.882712000000005,42165.137277065005
2020-06-25,97.95,28.75,22.35,17.39,11.59,3.21,9795.0,301.9,0.11304710122764883,33.076161,30448.04394007746
2020-06-26,97.88,29.32,22.42,17.44,0.37,4.08,9788.0,302.46999999999997,0.11275342882508925,67.91731200000001,62358.42201275277
2020-06-27,97.91,29.57,22.85,17.92,2.4,2.96,9791.0,302.71999999999997,0.11269484202694642,25.934336,23799.292255663433
